id_venda,id_produto,id_cliente,id_regiao,data,quantidade,valor_total
1,74,706,3,2023-10-22,1,46.78
2,6,295,4,2024-02-13,3,134.4
3,67,768,4,2023-08-06,1,74.97
4,70,289,4,2024-02-05,1,106.18
5,37,819,3,2023-12-25,1,18.02
6,12,498,2,2023-09-04,1,76.46
7,52,536,2,2024-07-29,1,106.68
8,57,91,2,2023-11-08,2,139.54
9,83,645,2,2023-01-01,1,53.01
10,48,591,3,2023-06-27,1,83.19
11,90,224,2,2023-04-09,1,72.41
12,14,39,2,2023-07-15,4,369.16
13,68,165,5,2024-05-02,2,107.6
14,9,57,1,2023-06-06,1,98.65
15,85,73,4,2024-04-06,1,70.1
16,24,581,3,2023-03-03,1,92.43
17,99,726,4,2024-05-27,1,127.7
18,6,564,1,2023-11-22,1,44.8
19,89,156,2,2023-09-01,1,87.28
20,32,66,2,2023-05-31,1,69.75
21,18,823,3,2024-01-12,1,53.89
22,87,188,1,2023-05-14,1,78.94
23,20,967,2,2024-08-24,1,78.71
24,67,398,1,2024-06-09,1,74.97
25,63,274,1,2023-06-07,1,45.44
26,100,924,3,2024-07-01,2,233.02
27,86,202,2,2024-07-02,1,39.91
28,20,100,3,2024-06-03,1,78.71
29,25,507,4,2024-03-13,1,44.76
30,52,714,4,2024-04-13,1,106.68
31,5,604,1,2024-05-19,1,112.11
32,56,259,1,2023-10-06,1,85.52
33,59,805,2,2023-08-10,1,55.21
34,77,343,3,2023-04-29,3,129.24
35,7,613,5,2024-04-15,4,293.88
36,54,67,5,2024-05-11,2,45.56
37,92,808,4,2023-01-17,1,61.57
38,85,201,4,2023-08-29,1,70.1
39,78,780,5,2024-08-19,1,98.14
40,30,112,2,2023-03-28,1,15.29
41,90,325,2,2023-05-24,1,72.41
42,68,357,1,2024-06-10,1,53.8
43,15,185,2,2023-08-03,1,39.48
44,52,93,4,2024-04-30,2,213.36
45,75,1,3,2024-09-27,1,63.03
46,80,938,2,2024-06-18,1,19.16
47,68,968,5,2024-07-09,1,53.8
48,91,833,2,2023-03-15,1,81.85
49,26,829,2,2023-10-04,1,59.89
50,100,507,4,2023-06-25,1,116.51
51,88,868,1,2023-09-15,4,236.92
52,47,166,4,2023-07-28,2,140.54
53,37,779,2,2023-04-05,3,54.06
54,22,620,2,2024-06-29,2,129.1
55,30,558,4,2023-10-11,1,15.29
56,33,327,2,2023-12-01,3,205.29
57,75,934,1,2023-10-05,1,63.03
58,29,677,3,2023-03-16,1,66.49
59,1,593,1,2024-08-05,1,18.87
60,40,686,3,2024-12-01,1,39.15
61,25,14,2,2023-03-24,1,44.76
62,45,160,2,2024-02-01,1,50.07
63,70,779,2,2023-04-11,2,212.36
64,97,884,3,2024-07-23,1,60.8
65,40,316,1,2024-10-11,1,39.15
66,29,499,5,2024-08-26,1,66.49
67,18,807,4,2023-11-21,1,53.89
68,74,405,2,2024-11-18,2,93.56
69,66,52,3,2023-01-09,1,47.46
70,14,613,5,2023-12-31,5,461.45
71,10,430,3,2023-03-29,2,197.1
72,19,48,5,2024-07-13,1,45.74
73,48,355,2,2024-02-27,1,83.19
74,56,231,1,2024-03-13,2,171.04
75,19,367,2,2024-03-23,1,45.74
76,65,35,5,2023-05-17,1,39.87
77,21,281,1,2024-10-05,2,175.84
78,98,30,5,2023-05-31,1,31.45
79,10,841,5,2023-12-02,1,98.55
80,87,115,1,2023-04-02,1,78.94
81,47,742,1,2024-07-06,2,140.54
82,35,800,2,2024-10-24,1,50.16
83,7,741,3,2024-12-01,1,73.47
84,8,798,3,2024-10-13,1,43.0
85,18,662,5,2024-08-28,1,53.89
86,93,763,3,2023-02-14,1,100.91
87,22,764,5,2023-05-07,1,64.55
88,72,977,3,2023-05-17,1,77.61
89,36,238,5,2024-06-10,2,119.76
90,9,737,3,2024-08-21,1,98.65
91,37,306,3,2024-07-25,1,18.02
92,56,847,5,2023-03-10,1,85.52
93,42,953,1,2023-05-28,2,135.86
94,24,52,3,2023-12-06,1,92.43
95,11,870,1,2023-03-20,2,147.42
96,9,844,2,2023-03-21,1,98.65
97,26,980,5,2024-12-12,1,59.89
98,48,99,4,2024-04-10,1,83.19
99,86,334,1,2024-07-26,1,39.91
100,87,958,1,2024-04-16,1,78.94
101,95,914,4,2024-12-07,1,53.06
102,60,670,5,2024-10-08,1,62.36
103,60,272,4,2024-07-19,1,62.36
104,74,294,3,2024-10-09,1,46.78
105,75,965,4,2023-08-29,2,126.06
106,30,184,1,2023-05-27,1,15.29
107,62,483,2,2024-09-02,1,121.82
108,52,539,4,2024-01-01,2,213.36
109,65,375,5,2024-05-13,1,39.87
110,14,112,2,2023-02-27,1,92.29
111,31,799,3,2024-07-11,1,53.45
112,65,613,5,2023-05-28,1,39.87
113,35,172,4,2024-01-07,3,150.48
114,98,308,4,2024-05-05,2,62.9
115,61,950,3,2023-05-08,1,38.58
116,7,49,1,2023-09-14,2,146.94
117,38,986,4,2023-03-19,2,277.84
118,79,791,1,2024-04-08,1,76.57
119,16,429,2,2024-03-20,2,111.16
120,84,91,2,2024-07-12,1,95.87
121,85,762,4,2023-08-31,2,140.2
122,2,274,1,2024-07-16,2,78.12
123,25,91,2,2024-02-15,1,44.76
124,61,701,2,2024-03-26,1,38.58
125,85,866,1,2024-12-03,1,70.1
126,15,250,4,2024-01-10,1,39.48
127,38,359,4,2024-08-24,2,277.84
128,11,320,5,2024-12-30,2,147.42
129,60,258,2,2024-08-16,1,62.36
130,70,185,2,2023-07-23,1,106.18
131,56,680,3,2023-02-08,1,85.52
132,32,725,3,2023-12-24,1,69.75
133,36,615,2,2024-10-04,1,59.88
134,30,966,3,2023-05-30,1,15.29
135,34,744,1,2023-10-20,3,327.15
136,74,20,5,2023-07-18,1,46.78
137,96,317,2,2024-09-17,1,95.83
138,92,234,2,2024-08-23,1,61.57
139,59,843,1,2024-05-11,1,55.21
140,61,44,4,2023-09-29,4,154.32
141,42,19,3,2023-02-22,4,271.72
142,87,775,4,2023-11-01,1,78.94
143,27,747,1,2024-03-22,1,28.59
144,4,69,5,2024-06-23,1,30.89
145,83,940,5,2024-12-17,1,53.01
146,68,360,2,2023-04-07,1,53.8
147,55,537,2,2023-11-06,1,97.29
148,2,92,2,2023-11-19,1,39.06
149,32,991,1,2023-01-07,1,69.75
150,46,932,3,2024-03-22,1,38.35
151,21,42,3,2023-01-19,2,175.84
152,44,941,4,2024-10-06,1,84.35
153,15,914,4,2024-07-16,1,39.48
154,23,88,5,2024-07-30,1,31.45
155,66,594,5,2023-02-07,5,237.3
156,44,170,4,2023-05-17,1,84.35
157,68,719,1,2024-05-13,1,53.8
158,10,285,1,2024-07-08,2,197.1
159,94,348,1,2023-08-08,1,86.5
160,14,589,5,2023-04-13,1,92.29
161,20,398,1,2023-12-07,1,78.71
162,65,460,2,2024-01-11,1,39.87
163,81,601,1,2023-07-27,1,34.26
164,78,758,5,2023-08-12,1,98.14
165,75,11,2,2023-08-14,1,63.03
166,89,44,4,2023-02-26,2,174.56
167,51,254,5,2023-04-01,1,19.62
168,2,967,2,2024-10-18,1,39.06
169,59,207,2,2024-06-17,1,55.21
170,45,366,1,2024-07-20,1,50.07
171,51,897,2,2023-05-10,1,19.62
172,46,644,1,2023-07-31,1,38.35
173,96,330,2,2023-05-21,1,95.83
174,27,990,5,2023-11-11,1,28.59
175,6,861,4,2024-07-21,1,44.8
176,15,609,5,2024-03-09,1,39.48
177,64,959,4,2024-06-24,1,56.95
178,86,765,1,2024-08-30,1,39.91
179,21,584,3,2024-01-16,3,263.76
180,55,133,4,2024-01-06,1,97.29
181,10,925,1,2024-03-16,1,98.55
182,35,170,4,2023-02-04,1,50.16
183,22,781,2,2023-02-23,3,193.65
184,20,940,5,2023-02-08,2,157.42
185,95,607,2,2023-09-30,1,53.06
186,42,776,4,2023-06-17,1,67.93
187,76,219,5,2023-10-15,2,160.44
188,63,930,2,2024-08-07,1,45.44
189,39,696,3,2023-01-03,1,90.97
190,17,657,5,2024-06-04,1,45.48
191,99,537,2,2024-02-25,1,127.7
192,99,572,3,2023-09-04,2,255.4
193,41,561,3,2023-06-26,2,15.48
194,64,533,4,2023-11-16,1,56.95
195,37,38,2,2023-06-26,1,18.02
196,98,806,4,2024-01-19,1,31.45
197,63,254,5,2023-03-13,1,45.44
198,43,568,2,2023-07-16,2,32.9
199,76,146,4,2024-10-05,2,160.44
200,91,359,4,2023-11-27,2,163.7
201,33,640,1,2023-07-06,1,68.43
202,78,298,3,2023-12-18,1,98.14
203,1,951,1,2023-11-16,1,18.87
204,30,240,2,2024-11-29,2,30.58
205,88,839,5,2024-05-24,1,59.23
206,49,532,1,2023-10-16,1,105.71
207,93,560,5,2024-11-02,1,100.91
208,43,75,2,2023-04-27,1,16.45
209,33,180,4,2023-08-26,1,68.43
210,16,112,2,2024-06-08,1,55.58
211,42,427,1,2024-02-29,1,67.93
212,43,941,4,2023-06-12,1,16.45
213,18,378,2,2024-05-31,1,53.89
214,44,273,1,2024-11-01,1,84.35
215,31,347,3,2024-12-03,1,53.45
216,86,831,2,2024-06-18,1,39.91
217,24,137,1,2023-10-16,1,92.43
218,21,841,5,2023-12-24,2,175.84
219,86,612,2,2024-04-30,1,39.91
220,77,567,5,2023-06-09,2,86.16
221,54,215,5,2024-09-11,1,22.78
222,71,210,5,2024-06-28,1,73.15
223,93,88,5,2023-03-17,1,100.91
224,32,854,3,2023-11-16,1,69.75
225,55,348,1,2023-04-26,1,97.29
226,68,233,1,2023-03-24,1,53.8
227,26,96,1,2023-06-25,4,239.56
228,58,693,3,2024-05-28,1,102.1
229,54,476,2,2023-06-11,2,45.56
230,34,631,3,2024-01-14,1,109.05
231,84,588,2,2024-09-20,2,191.74
232,62,48,5,2023-10-02,1,121.82
233,71,775,4,2023-05-03,1,73.15
234,38,629,1,2023-12-19,1,138.92
235,35,637,5,2024-09-13,1,50.16
236,38,759,3,2024-11-16,1,138.92
237,77,243,1,2023-07-05,1,43.08
238,17,200,4,2024-04-11,1,45.48
239,40,9,3,2023-04-04,1,39.15
240,88,894,4,2023-11-22,1,59.23
241,7,73,4,2024-07-10,3,220.41
242,57,715,2,2024-04-14,3,209.31
243,50,234,2,2024-05-24,2,95.98
244,37,120,2,2023-06-17,1,18.02
245,44,343,3,2023-01-17,1,84.35
246,2,265,5,2024-07-22,3,117.18
247,81,427,1,2024-11-27,1,34.26
248,73,405,2,2023-12-04,4,142.44
249,34,229,1,2024-05-15,4,436.2
250,38,208,4,2024-06-02,2,277.84
251,97,312,2,2024-12-06,1,60.8
252,93,416,4,2024-03-18,1,100.91
253,77,459,3,2023-03-13,2,86.16
254,61,820,3,2024-03-14,1,38.58
